BacDive ID,Species,Genus,Family,Order,Class,Phylum,Domain,NCBI taxonomy ID,Cell shape,LengthMin,LengthMax,WidthMin,WidthMax,VolumeMin,VolumeMax,SurfaceArea,AvgVolume,GeoMeanVolume
140835,Haloparvum sedimenti,Haloparvum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1678448.0,pleomorphic-shaped,0.6,0.8,0.3,0.4,0.035342917352885174,0.08377580409572784,0.7539822368615504,0.05955936072430651,0.05441398092702654
133906,Halopelagius fulvigenes,Halopelagius,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1198324.0,coccus-shaped,1.2,1.2,1.2,1.2,0.9047786842338602,0.9047786842338602,4.523893421169302,0.9047786842338602,0.9047786842338602
133781,Halopenitus persicus,Halopenitus,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1048396.0,rod-shaped,7.0,7.0,1.0,1.0,5.235987755982989,5.235987755982989,21.991148575128552,5.235987755982989,5.235987755982989
5974,Halopiger aswanensis,Halopiger,Natrialbaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,148449.0,rod-shaped,3.75,3.75,0.75,0.75,1.5462526341887264,1.5462526341887264,8.835729338221293,1.5462526341887264,1.5462526341887264
133244,Halopiger thermotolerans,Halopiger,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,,pleomorphic-shaped,1.0,6.0,0.5,1.0,0.16362461737446837,4.4505895925855405,5.441398092702653,2.3071071049800045,0.8533615993103979
158747,Haloplanus salinarum,Haloplanus,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,,pleomorphic-shaped,0.6,3.5,0.6,2.3,0.11309733552923255,11.356333843951502,5.348094385326138,5.734715589740367,1.1333009746450244
5882,Halorhabdus tiamatea,Halorhabdus,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1033806.0,rod-shaped,4.5,4.5,0.75,0.75,1.8775924843720249,1.8775924843720249,10.602875205865551,1.8775924843720249,1.8775924843720249
166246,Halorientalis pallida,Halorientalis,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1931229.0,coccus-shaped,1.1,2.8,0.5,0.5,0.1439896632895322,0.36651914291880916,0.7853981633974483,0.2552544031041707,0.22972803045785958
158600,Halorubrum aethiopicum,Halorubrum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,,ovoid-shaped,1.0,1.5,0.4,0.6,0.08377580409572782,0.28274333882308134,0.7539822368615504,0.18325957145940458,0.15390597961942368
5952,Halorubrum aidingense,Halorubrum,Halorubraceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1230454.0,rod-shaped,3.6,6.4,0.9,1.0,2.0993692907613797,4.76474885794452,14.305807102746387,3.4320590743529498,3.162746817334432
5953,Halorubrum californiense,Halorubrum,Halorubraceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,416585.0,rod-shaped,1.0,1.5,0.5,0.5,0.16362461737446837,0.2617993877991494,1.9238247452427961,0.2127120025868089,0.2069705888707521
5947,Halorubrum ezzemoulense,Halorubrum,Halorubraceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,337243.0,ovoid-shaped,1.5,3.0,0.6,0.6,0.28274333882308134,0.5654866776461627,1.1309733552923256,0.424115008234622,0.39985946443425285
141136,Halorubrum halodurans,Halorubrum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,,rod-shaped,5.0,10.0,1.0,4.0,3.6651914291880923,108.90854532444615,44.42882938158366,56.286868376817125,19.979255914285268
23052,Halorubrum kocurii,Halorubrum,Halorubraceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,1230456.0,rod-shaped,2.0,5.0,0.9,1.1,1.0814932709982865,4.403203903393894,9.884790517293963,2.7423485871960906,2.1822088333507144
5951,Halorubrum lipolyticum,Halorubrum,Halorubraceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,368624.0,rod-shaped,1.8,5.5,0.9,1.2,0.9542587685278998,5.76796411199086,10.272575638876914,3.3611114402593802,2.3460883040545424
140642,Halorubrum pallidum,Halorubrum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1526114.0,sphere-shaped,1.0,1.2,0.5,0.8,0.1308996938995747,0.40212385965949354,1.2566370614359172,0.26651177677953414,0.22942948838181904
